"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|PT","01.01.2024 00:00 - 01.01.2024 01:00 (CET/CEST)","362","n/e","n/e","n/e","191","0","n/e","n/e","n/e","n/e","1455","1","778","125","n/e","n/e","32","n/e","0","n/e","1","351"
"BZN|PT","01.01.2024 01:00 - 01.01.2024 02:00 (CET/CEST)","364","n/e","n/e","n/e","193","0","n/e","n/e","n/e","n/e","1065","1","635","141","n/e","n/e","32","n/e","0","n/e","3","340"
"BZN|PT","01.01.2024 02:00 - 01.01.2024 03:00 (CET/CEST)","366","n/e","n/e","n/e","190","0","n/e","n/e","n/e","n/e","484","77","501","143","n/e","n/e","32","n/e","0","n/e","3","411"
"BZN|PT","01.01.2024 03:00 - 01.01.2024 04:00 (CET/CEST)","365","n/e","n/e","n/e","190","0","n/e","n/e","n/e","n/e","248","502","1097","142","n/e","n/e","32","n/e","0","n/e","2","485"
"BZN|PT","01.01.2024 04:00 - 01.01.2024 05:00 (CET/CEST)","365","n/e","n/e","n/e","190","0","n/e","n/e","n/e","n/e","267","695","788","143","n/e","n/e","32","n/e","0","n/e","3","508"
"BZN|PT","01.01.2024 05:00 - 01.01.2024 06:00 (CET/CEST)","364","n/e","n/e","n/e","190","0","n/e","n/e","n/e","n/e","257","887","824","143","n/e","n/e","32","n/e","0","n/e","5","533"
"BZN|PT","01.01.2024 06:00 - 01.01.2024 07:00 (CET/CEST)","364","n/e","n/e","n/e","190","0","n/e","n/e","n/e","n/e","284","1031","835","143","n/e","n/e","32","n/e","0","n/e","6","555"
"BZN|PT","01.01.2024 07:00 - 01.01.2024 08:00 (CET/CEST)","362","n/e","n/e","n/e","191","0","n/e","n/e","n/e","n/e","339","687","416","173","n/e","n/e","33","n/e","0","n/e","7","441"
"BZN|PT","01.01.2024 08:00 - 01.01.2024 09:00 (CET/CEST)","364","n/e","n/e","n/e","192","0","n/e","n/e","n/e","n/e","279","573","442","176","n/e","n/e","33","n/e","1","n/e","10","331"
"BZN|PT","01.01.2024 09:00 - 01.01.2024 10:00 (CET/CEST)","363","n/e","n/e","n/e","195","0","n/e","n/e","n/e","n/e","425","655","315","207","n/e","n/e","32","n/e","119","n/e","10","319"
"BZN|PT","01.01.2024 10:00 - 01.01.2024 11:00 (CET/CEST)","359","n/e","n/e","n/e","199","0","n/e","n/e","n/e","n/e","268","731","362","211","n/e","n/e","31","n/e","539","n/e","13","281"
"BZN|PT","01.01.2024 11:00 - 01.01.2024 12:00 (CET/CEST)","361","n/e","n/e","n/e","197","0","n/e","n/e","n/e","n/e","226","850","348","177","n/e","n/e","33","n/e","1016","n/e","14","293"
"BZN|PT","01.01.2024 12:00 - 01.01.2024 13:00 (CET/CEST)","363","n/e","n/e","n/e","197","0","n/e","n/e","n/e","n/e","168","1977","357","198","n/e","n/e","32","n/e","1247","n/e","18","392"
"BZN|PT","01.01.2024 13:00 - 01.01.2024 14:00 (CET/CEST)","363","n/e","n/e","n/e","196","0","n/e","n/e","n/e","n/e","49","1706","385","148","n/e","n/e","32","n/e","1272","n/e","13","514"
"BZN|PT","01.01.2024 14:00 - 01.01.2024 15:00 (CET/CEST)","365","n/e","n/e","n/e","196","0","n/e","n/e","n/e","n/e","20","1851","377","168","n/e","n/e","32","n/e","1172","n/e","11","609"
"BZN|PT","01.01.2024 15:00 - 01.01.2024 16:00 (CET/CEST)","367","n/e","n/e","n/e","196","0","n/e","n/e","n/e","n/e","0","1358","435","143","n/e","n/e","33","n/e","897","n/e","16","639"
"BZN|PT","01.01.2024 16:00 - 01.01.2024 17:00 (CET/CEST)","363","n/e","n/e","n/e","194","0","n/e","n/e","n/e","n/e","27","731","460","142","n/e","n/e","32","n/e","582","n/e","18","697"
"BZN|PT","01.01.2024 17:00 - 01.01.2024 18:00 (CET/CEST)","364","n/e","n/e","n/e","194","0","n/e","n/e","n/e","n/e","330","636","532","144","n/e","n/e","32","n/e","155","n/e","20","694"
"BZN|PT","01.01.2024 18:00 - 01.01.2024 19:00 (CET/CEST)","364","n/e","n/e","n/e","195","0","n/e","n/e","n/e","n/e","1570","222","640","286","n/e","n/e","32","n/e","4","n/e","24","748"
"BZN|PT","01.01.2024 19:00 - 01.01.2024 20:00 (CET/CEST)","362","n/e","n/e","n/e","196","0","n/e","n/e","n/e","n/e","1758","4","844","436","n/e","n/e","33","n/e","0","n/e","23","1013"
"BZN|PT","01.01.2024 20:00 - 01.01.2024 21:00 (CET/CEST)","353","n/e","n/e","n/e","195","0","n/e","n/e","n/e","n/e","2034","0","877","316","n/e","n/e","33","n/e","0","n/e","25","1567"
"BZN|PT","01.01.2024 21:00 - 01.01.2024 22:00 (CET/CEST)","352","n/e","n/e","n/e","196","0","n/e","n/e","n/e","n/e","1640","1","810","315","n/e","n/e","32","n/e","0","n/e","25","2017"
"BZN|PT","01.01.2024 22:00 - 01.01.2024 23:00 (CET/CEST)","355","n/e","n/e","n/e","195","0","n/e","n/e","n/e","n/e","1426","1","794","197","n/e","n/e","33","n/e","0","n/e","24","1702"
"BZN|PT","01.01.2024 23:00 - 02.01.2024 00:00 (CET/CEST)","351","n/e","n/e","n/e","194","0","n/e","n/e","n/e","n/e","341","348","483","123","n/e","n/e","33","n/e","0","n/e","24","2028"
"BZN|PT","02.01.2024 00:00 - 02.01.2024 01:00 (CET/CEST)","350","n/e","n/e","n/e","194","0","n/e","n/e","n/e","n/e","214","970","475","139","n/e","n/e","32","n/e","0","n/e","25","2446"
"BZN|PT","02.01.2024 01:00 - 02.01.2024 02:00 (CET/CEST)","359","n/e","n/e","n/e","181","0","n/e","n/e","n/e","n/e","26","1422","536","175","n/e","n/e","32","n/e","0","n/e","25","2529"
"BZN|PT","02.01.2024 02:00 - 02.01.2024 03:00 (CET/CEST)","364","n/e","n/e","n/e","181","0","n/e","n/e","n/e","n/e","0","1730","448","143","n/e","n/e","31","n/e","0","n/e","25","2603"
"BZN|PT","02.01.2024 03:00 - 02.01.2024 04:00 (CET/CEST)","362","n/e","n/e","n/e","180","0","n/e","n/e","n/e","n/e","0","2134","357","142","n/e","n/e","31","n/e","0","n/e","25","2889"
"BZN|PT","02.01.2024 04:00 - 02.01.2024 05:00 (CET/CEST)","365","n/e","n/e","n/e","181","0","n/e","n/e","n/e","n/e","0","2350","242","142","n/e","n/e","31","n/e","0","n/e","25","3313"
